season,players,goals,Comb
2000,Andriy Shevchenko,24,Andriy Shevchenko2000
2001,Hernan Crespo,26,Hernan Crespo2001
2002,David Trezeguet,24,David Trezeguet2002
2003,Christian Vieri,24,Christian Vieri2003
2004,Andriy Shevchenko,24,Andriy Shevchenko2004
2005,Cristiano Lucarelli,24,Cristiano Lucarelli2005
2006,Luca Toni,31,Luca Toni2006
2007,Francesco Totti,26,Francesco Totti2007
2008,Alessandro Del Piero,21,Alessandro Del Piero2008
2009,Zlatan Ibrahimovic,25,Zlatan Ibrahimovic2009
2010,Antonio Di Natale,29,Antonio Di Natale2010
2011,Antonio Di Natale,28,Antonio Di Natale2011
2012,Zlatan Ibrahimovic,28,Zlatan Ibrahimovic2012
2013,Edinson Cavani,29,Edinson Cavani2013
2014,Ciro Immobile,22,Ciro Immobile2014
2015,Mauro Icardi,22,Mauro Icardi2015
2016,Gonzalo Higuain,36,Gonzalo Higuain2016
2017,Edin Dzeko,29,Edin Dzeko2017
2018,Mauro Icardi,29,Mauro Icardi2018
